Dataset,Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Heart Disease,Logistic Regression,0.8689,0.8125,0.9286,0.8667,0.9513
Heart Disease,Random Forest,0.918,0.871,0.9643,0.9153,0.9535
Heart Disease,SVM,0.8525,0.8065,0.8929,0.8475,0.9437
Heart Disease,XGBoost,0.8525,0.7879,0.9286,0.8525,0.9264
Heart Disease,LightGBM,0.8689,0.8125,0.9286,0.8667,0.9556
Diabetes,Logistic Regression,0.7078,0.6,0.5,0.5455,0.813
Diabetes,Random Forest,0.7532,0.6818,0.5556,0.6122,0.8152
Diabetes,SVM,0.7403,0.6522,0.5556,0.6,0.7964
Diabetes,XGBoost,0.7468,0.6531,0.5926,0.6214,0.8204
Diabetes,LightGBM,0.7727,0.6863,0.6481,0.6667,0.8243
Kidney Disease,Logistic Regression,1.0,1.0,1.0,1.0,1.0
Kidney Disease,Random Forest,1.0,1.0,1.0,1.0,1.0
Kidney Disease,SVM,1.0,1.0,1.0,1.0,1.0
Kidney Disease,XGBoost,0.9875,1.0,0.98,0.9899,1.0
Kidney Disease,LightGBM,1.0,1.0,1.0,1.0,1.0
